industry,resume_text,experience_level
Human Resources,profile jessica claire 100 montgomery st 10th floor 555 4321000 resumesampleexamplecom wwwlinkedincominryanclaire327 professional summary diplomatic human resources manager 25years experience specializing hr instructional training financial logistics management skilled developing implementing practical initiatives meet hr needs promote performance improvements adept strategic planning policy integration performance improvements consistently pursuing ways maximize efficiency employee satisfaction cost savings strong organizational analytical interpersonal skills connect effectively various levels employees known high emotional intelligence champion di excellent knowledge policy creation enforcement protect support employers employees dedicated personable advanced training conflictresolution crisis management skills personnel training development employee relations strategic partnerships management human resources work history human resources consultant accomplishments communication skills public presentation strong interpersonal skills admin safety investigations performance appraisal 072018 current accenture arlington va responsible enforcement policies workforce initiatives 450 employees including 6 geographically dispersed worksites spanning 770 miles identified human resource training needs conducted training employees leadership recommending approaches effect continual improvements business objectives productivity reach business goals presented inperson virtually monthly allhands events promote company objectives investigated liaised legal department respond complaints harassment discrimination employee grievances sensitive issues developed staffing strategies fill vacancies define position allocations conducted exit interviews employees leaving company gauge areas success opportunities improvement formed strong strategic partnerships improve employee compensation quarterly annual awards programs safety board member fiicancial manager pontoon solutions waltham 072014 072018 responsible oversight 12m budget procurement actions large uscg command established budgetary benchmarks formulated financial management strategies researching operating historical financial records ensured procurement teams conducted market research lawfully used competitive bidding following far regulations supervisor 16 person team responsible conducting human resource duties include semi annual performance appraisal reviews carrying disciplinary actions reviewed updated civilian job vacancies program descriptions directed 33 technical experts conversion 31m property financial logistics management system created strategic partnerships multiple business divisions improve communications efficiencies ensured warehouse facility equipment safety protocols followed zero accidents injuries tenure investigated fleet vehicle mishaps made reports safety officer leadership instructor abb ltd washington dc 072012 072014 delivered inperson instruction 1300 senior managers organizational leadership human behavior physical fitness developed modified lesson plans instructional materials team assignments created boarding orientation initiatives reduced instructor qualification timeframes 20 provided coaching mentoring assigned teams planned largescale events graduation dinners conferences meetings investigated allegations misconduct prepared legal documents staff judge advocate procurement logistics manager us coast guard city state 072008 072012 reviewed financial reports day investigated variances accounting staff keep records accurate logistics center team leader five person property accountability reconciliation team ensuring excellent compliance us coast guard regulations dhs directives created baseline spare parts inventories performed restock fulfillment actions three national security cutters oversaw quarterly annual general purpose property inspections 99 accuracy maintained excellent working relationships customers efficiently responding inquiries complaints concerning work orders invoices shipments navy league pacific region senior enlisted operational support year 2015 uscg commendation medal 3 awards uscg achievement medal 5 awards uscg commandants letter commendation uscg good conduct medal 8 awards uscg basic training honor graduate education bachelor science business administration management columbia college columbia mo 052014 graduated summa cum laude sigma beta delta member,senior
Sales,jessica claire overview motivated accounting clerk verifiable record accurate bookkeeping skill working customers vendors management looking grow company accomplishments reduced open invoice cycle time 90 days 10 days developing new dispute reporting procedures experience accounts receivable 022017 022017 sysco durant ok input oxy field ticket packets oracle netsuite created sales orders ticket verified field tickets correct descriptions billed correctly correct pricing markups sales order created netsuite input sales orders shale apps give approval billing scanned sales orders system filed packet shale app number ran telogis vehicles track location jobs insure oxy billed correct hours site service adminbookeeper rush enterprises lay 2015 022016 hippo insurance palo alto ca match coded paperwork invoices departments assisted managers hiring procedures screening candidates coordinating interviews assisted new hire paperwork benefit packages 19 forms ordered parts delivered well handled month end year end closing audits responsible continuing education training certification new experienced employees filed invoices paperwork needed processed peterbilt cummins warranty claims handled paccar roadside invoices reconciled vendor statements checked accuracy assisted month end close filed daily cash sales summary sheets processed new hire drug screen paperwork needed performed daily reports four different locations units areas contacted several vendors units due service non payments handled inventory two locations input sap system agency support specialist 052008 102014 nationwide insurance city state rated sales quotes including flood home auto motorcycle boat travel trailers seven different companies see rate best fit customers needs wants handled escrowed accounts sold auto home commercial policies nationwide progressive hartford customers depending needs performed cold calling internet leads expertise resolving escalated customer issues handled commercial auto business calls insured needing certificate liability adding additional insured policy handled accounts escrowed verified accounts education bba accounting 2017 university texas permian basin odessa tx accounting skills oracle netsuite adp closing cold calling customer relations inventory managerial excel mail office outlook microsoft word month end close policies quality quickbooks safety selling sales sap shipping time management,junior
Human Resources,jessica claire 9 resumesampleexamplecom 555 4321000 montgomery street san francisco ca 94105 summary continue career human resources profession requires strong analytical skills proven ability knowledge exceptional energy commitment highlights ms office suite ms word excel powerpoint access outlook travis abra probusiness oracle peoplesoft kronos adp ceridian education university tennessee bs business administration human resources management general management business administration human resources management general management accomplishments experience ols hotels resorts human resources manager tempe az 122007 present responsible planning development implementation budgeting human resources related functions including employee relations payroll compensation management benefits administration talent management safety program training recruiting retention training organizational development projects multistate locations coordinates recruitment efforts hiring managers coordinates interviews accepts resumes applications interviews assists final decision process process background investigations schedule preemployment drug testing review current staffing levels project future staffing needs based sales production projections conduct new hire orientation schedule specialized training needed conduct exit interviews analyze results look trends reasons left monitor track annual review process responsible identifying planning executing needs training performance educational programs locating recommending available resources attain organizations objectives enhance employee development integrate training safety programs meet government standards monitored progression designed maximize employees response performance knowledge review current incentive program promote good attendance safe working work practices manage workers compensation claims costs head safety committee implements updates compensation evaluation program rewrites job conducts annual salary compensation develops salary budget monitors performance evaluation program coordinated lead weekly hr walk thru department employees one one time hr ask questions make suggestions comments surveys develops recommends implements ensures compliance personnel policies procedures ures prepare maintain employee handbook assists managers employee issues relating job performance attendance policy violation etc knowledgeable federalstate regulations including eeo flsa ada labor laws agreements adp senior benefits specialist elk grove village il 022007 092007 benefits administration including major medical dental std ltd supplemental life group life 401k aspp 10000 employees multistate locations ensure accurate timely filing legal compliance documents including form 5500 related audits perform annual section125 discrimination testing cafeteria plans prepare benefit recap benefit financial reports requested management resolve intermediate level problems related eligibility claims benefit issues coordinate administrative processes 401k retirement plan including biweekly remittances quarterly enrollment calendar entering deferral elections pension indicators hris monitoring loan reports hardship withdrawal suspensions responding requests tpas resolve benefit related matters stop loss carrier manage coordinate claim subrogation issues tpa fmlaloa tracking documentation volunteers america chesapeake senior employment specialist washington dc 042006 022007 develops coordinates recruiting staffing strategies activities administers assessment tools internal external candidates identifies develops implements effective interviewreferral selection strategy referring top internalexternal talent hiring officials interviews candidate selection assists hiring managers selection recommendation process including counseling regarding diversity initiatives proposed budgeted salary offers equity analysis reviews salary budgets proposes salary new hires obtains necessary approvals conducts reference interviews background verification candidate selected communicates hiring managers training departments hr representatives regarding new hire processing transferringpromoting internal staff refresh mental health human resourcescompliance specialist denver co 072003 042006 conducts recruitment effort exempt nonexempt personnel temporary employees conducts newemployee orientations write place job advertisements knowledgeable employment labor laws ada erisa fmla flsa guidelines performs benefits administration include open enrollment claims resolution change reporting communicating benefit information employees ensure compliance federal state laws relates cobra administration fsa administration local multistate clients review interpret irs revenue rulings relating section 125 fsa cobra administration local multistate clients review plan documents amendments procedures various clients ensure compliance applicable laws administer various human resources plans procedures company personnel assists development implementation personnel policies procedures prepares maintains employee handbook policies procedures manual skills abra ada administrative adp advertisements ask benefits administration budgeting budgets budget ceridian counseling clients documentation educational programs employee relations equity filing financial reports fsa government hiring hris human resources hr kronos legal compliance access excel ms office suite outlook powerpoint ms word monitors oracle organizational development payroll peoplesoft personnel policies processes recruiting recruitment reporting safety sales staffing strategy surveys employee development,executive
Blockchain,dean katiadeaneth contact web 3 enthusiast skilled driving clarity passion emerging tech blockchain ecosystem unique background project management engineering product management give web 3 community community moderator metalntro discord channel sharing knowledge assisting teams members odyssey dao bootcamp created token polygon network developed writing content shared medium mirror xyz discord twitter platforms katiadeanxyz work experience eastern time zone education master science cybersecurity technology university maryland university college bachelor science electronic engineering cleveland state university certified metaverse expert certified nft expert certified scrum master tech stack project management tools jira ms teams trello social media slack discord exchanges coinbase defi exchanges raydium uniswap wallets metamask phantom ledger nano x blockchain technology solana skills project management program management blockchain technology agile waterfall methodologies emerging technology research nonfungible tokensnft creative ideation user research solana ecosystem scalable processes design thinking system engineer stellarpeak june 2022 present evaluates requirements analysis program offices ensure agile artifacts acquisition solutions properly aligned enterprise requirements baseline collaborates 4 requirements teams determine big picture epic analysis implementing scaled agile safe best practices drafts new workflows focus requirements solution epics safe framework web 3 enthusiast oct 2021present created deanpolygon token using software remix referencing erc 20 token code solidity performs market research upcoming nft projects solana blockchain using various resources marketplaces data analysis platforms check rarity nfts analyzes web3 community nft project based organic growth vs paid partnerships determine investing project understanding fud wagmi mentality participating codeless conduct hackathon feb 23rdmarch 9th build knowledge web3 space creates educational content medium sharing journey web 3 achieves using web3 native technology ex using noncustodial wallet defi nfts completed odyssey dao 2 week bootcamp program manager system engineer anavation jan 2020june 2022 spearheaded 5 complex client kickoff meetings inform crossfunctional teams upcoming projects builds business relationships ensure projects within scope redesigned meeting structures streamline workflow increase communication throughout team resulting 50 reduction meetings researched early stages project brainstorm ideate various teams help define scope epics 2 awards collaboration may 2021 2022 senior program analyst may 2019 dec 2019 cydecor provided oversight governance manage 8 programs ranging 5m10m streamlined program requirements reviews prr resolved scheduling conflicts 20 program leads senior technical manager nov 2017 sep 2018 pe systems cybersecurity engineer june 20152017 selvy enterprise,senior
PMO,summary jessica claire montgomery street san francisco ca 94105 555 4321000 resumesampleexamplecom experienced program management office manager demonstrated history working many industries skilled business process analysis service management strategy project portfolio management process improvement strong program project management professional master business administration mba focused internationalglobal studies cornerstone university skills project requirements use case faciliation current pmp certification cmmi microsoft tools project online visio powerbi sdlc waterfall agile hybrid methodologies budgeting resource management scope management risk issue management schedule management experience pmo manager 062015 current emd millipore rockland responsibilities include define institutionalize standard portfolio project management processes provide repeatable predictable results validated system environment provide management support strategic direction change management office cmo integrates pmo large initiatives monitor track kpis measure project process improvement govern portfolio process bloiness process architect citizant inc arlington tx responsibilities include 102011 062015 develop manage portfolio complex projects supply chain management product lifecycle management business units vendor management new licensing statement work contracts interface pmo applications infrastructure teams validate estimates solution architecture build sustain relationships business executives research present solution recommendations align business objectives architecture program manager snc lavalin toledo oh responsibilities included 012011 102011 managed 3m sap custom project provided perrigo industry advantage supporting multi packaging labeling otc drugs delivered steering team messages executive level sponsors managed vendor consulting relationships encerprise pmo leader 2002 012011 hewlett packard city state responsibilities included participate cmmi assessment teams evaluate site compliance create deploy global project management processes procedures schedule management metrics tracking requirements traceability issue risk monitor control communication management configuration management status reporting provide mentoring coaching across large industries ensure cmmi level 3 maturity levels work offshore teams ensure seamless handoffs disciplines review sales solutions hp pursuits verify budget application maintenance support using standard pm2 slc3 processes develop program charter stating objectives benefits client deliverables governance transitioning application teams hp organization manage organizational change implement strategies seamless transition new clients resources hp organization monitor track mitigate issues risk throughout transformation activities acquiring new clients manage track report program budgets point sale models develop implement corrective action plans cost overruns provide oversight direction virtual work stream projects programs workforce management infrastructure connectivity engineering processestools organization structuring application delivery governance offshore work migrations manage organizational change implement strategies seamless transition client resources hp organization project office leader manage provide direction team project manager smes across us india argentina participate phase gate reviews large development projects new client pursuitsprovide guidance validate cost models supporting standard application development processes existing clients scrutinized development processes guarantee repeatable high quality results software product monitor early warning indicators across project portfolio earned value analysis baseline change trends estimate completion fluctuations work project teams create corrective actions negative thresholds exist evaluate provide support iterative development techniques software projects delivering value via iterative release cycles led project prepare accounts deployment institutionalization cmmi practice areas order pass cmmi level 3 assessment participated cmmi assessments certified assessor project manager project manager electronic data systems eds city state responsibilities included manage project move mainframe systems offshore facility 2001 2002 production support manager general motors global purchasing quality tracking system education training bachelor science mgt information systems central michigan university mt pleasant mi accomplishments mica international business cornerstone university grand rapids mi international business improved project delivery variance baseline 50 via standard process improvements developed requirements definition management process improved delivery reduced portfolio churn improved portfolio review process creation dashboards design pilot new ppm solution managing portfolio ideation project close project spend averaged 2530m per year oversite 5060 concurrent projects certifications project management professional pmp certified project management institute since 2002 information technology infrastructure library itil completed continuing education units itil foundations capability maturity model integration cmmi assessor certified systems engineering institute participate cmmi assessments lean six sigma certified yellow belt industry automotive manufacturing office furniture oem software pharmaceuticals transportation,executive
Food and Beverages,details michelle baker food beverage attendant flagstaff 94103 verenigde staten 890455111 1355 market st flagstaff 94103 verenigde staten 890455111 rozenboomchantalgmailcom dateplace birth 05101987 scottsdale nationality american driving license full skills communication math wine knowledge allergie knowdedge first aid certified profile seeking food beverage attendant position disneyworld florida handson food beverage service experience exceptional hospitality skills fully utilized make immediate contribution employment history food beverage attendant billabong restaurant broomfield co june 2013 present worked immediate supervision school food service manager performed routine manual tasks preparation serving food cleaning maintaining food service areas accomplishments memorized restaurants wine stock meals accompany leading daily wine sales averaging 170 25 company average write patrons food orders slips memorize orders enter handhelds transmittal kitchen staff 120 seat restaurant trainee food service worker woodys scottsdale az september 2012 may 2013 coordinated assisted serving guests responsible charge team waitresses role trained several new employees standard accomplishment present menus patrons answer questions menu items making recommendations upon request 70 seat restaurant served food beverages patrons prepared server specialty dishes tables required hobbies horse riding reading skiing languages english spanish french education broomfield community college broomfield mt september 2010 june 2012 degree associagt gilbert classical academy high school phoenix az july 2006 june 2010 degree courses first aid course first aid association america 20142014,senior
Accountant,jessica claire 9 resumesampleexamplecom 555 4321000 montgomery street san francisco ca 94105 professional profile certified accountant 10 years experience working company financial statements vast experience preparing tax returns ability critically review financial statements highly motivated manager excellent administrative organizational communication skills reliable person 20 years work experience highlights professional accountant tax auditing proficient microsoft office management expert general tax accounting expert taxation education hmrc staff college lincoln england 2009 certificate management leadership management skills selfawareness impact communication presentation skills working collaboratively improved performance managing performance managing change getting less delivering better compliance engaging customers improved performance international tax frontiers issues human resource management management institute national development mind kingston 2007 certificate management management development organizational development understanding difference learning others interpersonal skills team skills processes leadership performance management systems thinking continuous improvement business planning presentation skills commonwealth perspective tax administration module best practice design tax risk management strategic planning tax compliance administration audit case selection risk based auditing planning investigationslarge company investigations cost benefit analysis value added taxes management disputes tax evasionavoidance tax evasion underground economymoney laundering fraudulent transactions issues relating multinational corporates expatriate employees hmrc staff college lincoln england 2004 certificate taxation personal development selfawareness impact communication presentation skills engagement taxpayer customer focus business tax interventions personal tax interventions accounts examination case selection risk analysis techniques collecting returns payments compliance strategy special investigations civil investigations fraud understanding avoidance criminal investigations practice presentation skills project team working tribunals including appeals reviews evidence international taxation transfer pricing tax treaties exchange information taxation ecommerce computer record examination kaplan financial ftc london england 2002 association certified chartered accountants accountancy management accounting financial accounting financial management skills good communication customer service problem solver team work skill proficient quickbooks accomplishments setup large taxpayer unit collected 70 domestic taxes revenue increased revenue collection 20 period two years lead team introduced tax identification number tin developed new process employee evaluation resulted marked performance improvement developed enforcement process improved revenue collection improved customer relations experience apartment income reit corp accountant pembroke pines fl 052013 102013 performed debit credit total accounts computer using specialized accounting software managed accounting operations accounting close account reporting reconciliations received recorded banked cash checks vouchers well reconciled records bank transactions assisted managing director production monthly financial management reports prepared financial regulatory reports required boards directors brown brothers harriman commissioner taxes columbus oh 032011032012 managed 80 staff responsible collection domestic revenue managed formulation implementation annual operational plan budget domestic taxes department prepared managed annual budget department formulated policy objectives strategy department gambia revenue authority deputy commissioner taxes city state 032007 032011 ensured large taxpayer unit ltu maximises revenue collections managed oversee work ltu made monthly reports summerising progress plans account variations established reported trends compliance liaised technical services unit develop procedures legal changes counter threats revenue liaised government departments private institutions establish arrangements collection collation exchange relevant data conducted performance appraisals ltu staff central revenue department inspector taxes city state 2003 032007 conducted tax audits taxpayers produced tax audit reports ensured taxpayers compliance payment filing obligation advised taxpayers tax issues central revenue department assistant inspector taxes city state 041999 112002 planned executed enforcement activities inspected tax returns carryout desk audits prepared issued tax assessments taxpayers central revenue department tax officer city state 011997 031999 ensured tax returns processed efficiently maintained date records taxpayers liability payments central revenue department senior tax clerk city state 111991 1997 maintained taxpayer files issued tax clearance certificates provided first point contact taxpayers requiring assistance languages english affiliations association certified chartered accountants uk association accounting technicians uk taxation audit assurance business analysis management development institute kanifing kmc 1998 association accounting technicians accounting preparing financial statements budgeting financial reporting report writing cash management risk management professional ethics certifications certificateachieving management potential certificate taxation certificate management development,senior
Business Analyst,jessica claire montgomery street san francisco ca 94105 555 4321000 resumesampleexamplecom professional summary six years professional experience expertise business analysis quality experience project management aspects expertise software development test life cycles requirement analysis user acceptance testing release good experience web based applications phases sdlc including requirement gathering estimation analysis planning development testing production implementation excellent experience working global diverse environment coordinating onsiteoffshore team members proficient preparing business requirement document brd software requirement specification srs use cases functional specifications excellent knowledge industry standard methodologies like software development life cycle waterfall model iterative software development life cycle process per agile facilitated regular joint application design meetings key application project stakeholders including program managers project managers divisional coordinators multitiered highrisk multicadence release expertise quality process preparing metrics milestone reports strong visual modeling business process modeling skills tools like ms visio depth knowledge experience documentation business process requirements specifications design development use case scenarios creating maintaining requirement traceability matrix closely liaised clients scope requirements estimation test strategy planning coordination various stakeholders derive business needs recognized exceptional communicating business application workflow stakeholders application developers end users experience enabling necessary collaboration among business development teams achieve clear welldefined requirements experienced developing use case models activity diagrams sequence diagrams data flow diagrams dfd worked team environment developed relationship external customers internal counterparts assisted developing test cases based product features functionality user interaction possibilities relational database experience expertise working test plans test cases experience incident management request management change management release management production support maintenance database migration testing user acceptance testing energetic vibrant professional deliver projects excellence using creativity enthusiasm years solid experience business analysis systems analysis team player strong leadership communication relationship management analytical problemsolving skills proven capability meet deadlines work pressure situations certifications lean six sigma white belt management strategy institute professional scrum master certification scrumorg skills expertise software development life cycles work history business analyst 2015 102016 indepth knowledge creating business requirements document technical requirement specifications mercy healthcare springdale ar capital one one nations largest banks offers credit cards checking savings accounts auto loans rewards online banking services consumers businesses project involved upgrade enhancement capital ones applications grow credit deposit portfolios attracting new customers improve crossselling streamlining business process improving customer facing internet based applications upgrade backend oracle suite also enhance analytics platform improve decisions enhance marketing influence consumer behavior conducted interviews jad sessions clients understanding gathering assimilation organization categorization analysis documentation business requirements coordinated architects application sme security infrastructure network data integration dbas operations team creation system requirements functional nonfunctional analyzed mapped processes current statefuture state communicated various business units produce use cases associated sequence activity diagrams worked subject matter experts application tech leads operation identify document inventory application functionalities supported applications technology life cycle management hardware software operating system etc status performed gap analysis identify system restrictions potentials decommission activities assisted project program managers developing project charter plans estimation timelines prepared functional specification document meets requirements application behavior describing detail design application identified documented issues risks descriptions impact provided recommendations develop application meet user requirements managed changes requests analysis approval process change approval board cab governance gate worked business technical client stakeholder understand underlying technologies systems partnered partner organizationoffshore teams prepare functional nonfunctional requirement specifications document system enhancements conducted briefing sessions development technology team share requirements relevant documents provided support preparation traceability matrix reviewing design deliverables ensure alignment client specifications provided weekly status reports impacted parties business leadership involved meetings users application owners business owners enterprise management team gather document system requirements estimation planning resources effort schedule estimation devise test strategy qa scope entry exit criteria helped test team understand requirements gathered help develop various test conditions test cases acted bridge test team technical team also bridged business technical team assisted business team user acceptance testing post implementation verification technical environment agile hp agm msproject rup jira uml ms excel ms visio sharepoint javaj2ee oracle sql quality center uml use cases user stories business analyst 102013 112014 mercy healthcare bella vista ar worked application bob business optimization browser home mortgage track productivity 45000 employees organization designing designation process project involves development deliver operational reporting performance measures around credit lending programs processes initiativesobjective project also includes delivery dashboards reports production ad hoc analysis conducted requirement gathering sessions feasibility studies organizing software requirements structured way effectively interfaced business users prepare update business process requirements bpr software system requirements ssr business partnering working handinhand build scalable solutions complex problems rooted data analytics ex shift resources shared service centers without negatively impacting top line revenue capture requirements develop performance reporting track progress op targets budget frequent interactions vps svps tactical strategic projects adhoc analysis reporting identify understand cost drivers opportunities reduce general administrative expense credit area serves liaison business end users development initial phase reports creation enhancements ensured requirements appropriately defined agreed upon documented specifications data models analyticsreports development testing involved test team assisting integration user acceptance regression testing using test cases created hp quality center ensure application data analysis forms conform specifications business requirements created graphical representations complex business processes involved agile environment actively participated team stand meeting iterations retrospectives also involved structuring application process mentored trained business analysts organization processes applications various tools used incorporated wire frames prototypes better understanding project requirements extensively involved data mapping filtering consolidation cleansing integration etl customization data mart technical environment microsoft office suite unix windows ntxp oracle sql sql server j2ee vbscript cognos business objects ms viso jira informatica quality center javaj2ee developer technical business analyst 012011 092012 engility corporation wallops island va india integrated banking system userfriendly packageit performs effective processing maintenance front back office functions front office activities include accounts daily cash transfer transactions check book issues maintenance inward outward clearance back office activities include day end month end quarterly halfyearly process process consists cash transfer book sectional main daybook general ledger abstract account module includes opening closing transfer accounts module contains details account holder introducer minor nominee joint holder nri information involved developing web pages using jsp jstl html xhtml developed javascript client side validation application developed based springs framework used mvc architecture five modules among different projects used unix scripting extensively used soap rest based web services depending requirements used apache tomcat jboss web application server combination session fa ade business delegate design patterns used developed business objects using ejb calling data access objects used jdbc database connectivity oracle db server generated customized value object entities daos created implemented oracle 9i stored procedures ant used building application deployed jboss application server involved junit testing debugging bug fixing conducted interviews clients understanding requirements evaluationanalysis data assisted developing project plans detailing projects mission process flow timelines prepared functional specification document meets requirements application behavior describing detail design application identified documented issues risks descriptions impact provided recommendations develop application meet user requirements worked business technical client stakeholder understand underlying technologies systems technical environment microsoft office suite unix windows ntxp oracle sql sql server j2ee vbscript cognos business objects informatica quality center javajee developer 052010 2011 ramky infrastructure limited city india ramky infrastructure limited ramky infra integrated construction infrastructure development management company indiasince commencement business 1994 company done range construction infrastructure projects various sectors water waste water transportation including terminals irrigation industrial construction including sezs industrial parks power transmission distribution buildings including residential commercial retail property project involves creation integrated dashboard ramky infrastructure limited support clients different business units like construction development international business integrate backend applications 3 business units provide unified user experience involved reviewing business requirements analyzing creation detaillow level design interacted solution architect business analyst clarification requirements system architecture design created web ui connectivity modulesapis using javaj2ee framework struts jsp servlets custom tags wrote daos access database using jdbc calls deployment application web logic server environment ant tool struts jsp client wrote sql queries integrated sql queries dao developed triggers packages procedures functions using plsql developed business logic classes using session beans processing manager service involved creating configuring build files developed controller servlets framework component presentation designed developed implemented jsps presentation layer submission application reference implementation developed javascript client end data entry validations front end validation used site minder authentication authorization data thin client application server used custom tags check authentication wrote junit test cases unit testing integration layer technical environment core java jsp jstl html xhtmi springs javascript jdbc ejb 20 apache tomcat jboss 40 oracle 9i junit cvs ant education bachelor technology electrical communication jntu hyderabad,senior
Data Science,rachelle thompson data scientist personal profile data scientist 3 years experience executing datadriven solutions increase efficiency utility internal data processing contact details number 9129653457 email thompson rachgmailco website wwwrachellethompsonc om address 875 long st madison wi usa 87654 skills microsoft office word excel powerpoint six sigma black belts information technology delivery methods php python html css minitab spss work experience data scientist google 20172019 developed insights performance networkstudio programs competitors across platforms including linear multiplatform svod data scientist ibm 20162017 built defined strategies rd data analytics academic background madison university department computer science average gpa 37 academic excellence computer studies technical sciences madison computer society president madison area technical college department computer science average gpa 35 2 consecutive years member schools acting club member volleyball team,senior
Digital Media,jessica claire resumesampleexamplecom 555 4321000 100 montgomery st 10th floor summary im experienced order packing order picking providing great customer service solutions show great care attention workplace strong productive associate consider without doubt valuable asset job event employs im kind understanding person loyal team member average 12 13 hour shifts regularly working open til close sometimes work whole regular shift without 15 minute break lunch break depending workday would get dependable associate ready contribute company goals ready learn move company help meet needs earn proper career experience opportunities inclined exceed company expectations skills warehouse experience backroom leadership team ethics attention detail strong work ethic great listener inclined towards structure resolve workplace quality inspections problemsolving heavy lifting positive attitude following instructions willingness learn customer service teamwork collaboration education training westover high school albany ga 052014 high school diploma completed professional development culinary arts voted best dressed senior class 2014 recipient west georgia technical college newnan ga automotive technology experience tjx companies inc digital team associate san jose ca 012022 current online customer order fulfillment order picking order packing dispensing completed orders within 5 minutes customer pickup arrival maintaining customer service attention detail including communication customer items found substitutions made lost items items received etc staging placing marking location picked orders time place dispensed customers delivery drivers tend stage orders belonging person together strong communication coaches team leads fellow associates including building maintaining balance support efficiency structure throughout backroom order loss prevention order quality checks order processed retrieved customer special orders retrie retrieving unused pallets using pallet jack stacking packed orders pallet wrapping entire pallet plastic wrap pulling pallets delivery truck time lets delivery loading pallets onto delivery truck returning items canceled expired taking damaged expired goods proper claims department filling carts totes pickers begin pick walk staging prepping orders infrom cooler freezer following apply role personally workplace environment worked hard learn required tasks quickly maximize performance maintained excellent levels workplace cleanliness around equipment enhance safety productivity built maintained working relationships peers upper management looked ways go beyond job requirements upheld high standards productivity quality operations contributed team safety productivity removing safety hazards keeping areas neat wellorganized assisted newly hired team members explaining company procedures job details safety requirements trained new team members using approved methods guidelines information completed required associate learning topics received 4 walmart academy badges far aparium hotel group model tampa fl 072013 current fashion show photo shoot gigs model designers photographers attended casting calls fittings shows shoots upheld high standards professionalism highstress environments arrived early shoots give extra time hair makeup styling worked closely team members deliver project requirements develop solutions meet deadlines keystone foods pallet builderline worker city state 012018 022019 sorted raw chicken following proper safety procedures weighed packed unpacked chicken stacked transported properly packed sealed goods stacked goods correctly onto pallet transported used established assembly instructions complete jobs built packaged products comply multiple work orders deadlines moved items machines conveyors transport equipment meet production needs examined final products conformance quality marketing standards packed finished goods correct packages boxes built many boxes package products blackbeards restaurant servers assistant city state 092017 122017 cleared tables maintain high turnover rate minimize wait times maintained table setting removing courses completed replenishing utensils supported wait staff setting replenishing condiment stands trash containers liners bus stations transported filled bus tubs kitchen dishwashing area organized bus cart returned side station use cleared cleaned sanitized booth chair cushions tables,junior
